time,board_C_median,reconstructed_C,entries_per_10min,entries_per_hour,occupancy_D60,occupancy_D90,occupancy_D120
03:00,0.0,0.00,0.000,0.00,0.00,0.00,0.00
03:10,0.0,0.00,0.000,0.00,0.00,0.00,0.00
03:20,0.0,0.00,0.000,0.00,0.00,0.00,0.00
03:30,0.0,0.00,0.000,0.00,0.00,0.00,0.00
03:40,0.0,0.00,0.000,0.00,0.00,0.00,0.00
03:50,0.0,0.00,0.000,0.00,0.00,0.00,0.00
04:00,0.0,0.00,0.000,0.00,0.00,0.00,0.00
04:10,0.0,0.00,0.000,0.00,0.00,0.00,0.00
04:20,0.0,0.00,0.000,0.00,0.00,0.00,0.00
04:30,0.0,0.00,0.000,0.00,0.00,0.00,0.00
04:40,0.0,0.00,0.000,0.00,0.00,0.00,0.00
04:50,0.0,0.00,0.000,0.00,0.00,0.00,0.00
05:00,0.0,0.00,0.000,0.00,0.00,0.00,0.00
05:10,0.0,0.00,0.000,0.00,0.00,0.00,0.00
05:20,0.0,0.00,0.000,0.00,0.00,0.00,0.00
05:30,0.0,0.00,0.000,0.00,0.00,0.00,0.00
05:40,0.0,0.00,0.000,0.00,0.00,0.00,0.00
05:50,0.0,0.00,0.000,0.00,0.00,0.00,0.00
06:00,0.0,0.00,0.000,0.00,0.00,0.00,0.00
06:10,0.0,0.00,0.000,0.00,0.00,0.00,0.00
06:20,0.0,0.00,0.000,0.00,0.00,0.00,0.00
06:30,0.0,0.02,0.020,0.12,0.02,0.02,0.02
06:40,0.0,0.08,0.063,0.38,0.08,0.08,0.08
06:50,0.0,0.17,0.087,0.52,0.17,0.17,0.17
07:00,0.0,0.27,0.104,0.62,0.27,0.27,0.27
07:10,0.0,0.35,0.075,0.45,0.35,0.35,0.35
07:20,0.0,0.36,0.015,0.09,0.36,0.36,0.36
07:30,0.0,0.36,0.000,0.00,0.34,0.36,0.36
07:40,0.0,0.37,0.004,0.03,0.29,0.37,0.37
07:50,0.0,0.43,0.065,0.39,0.26,0.43,0.43
08:00,0.0,0.54,0.106,0.64,0.27,0.52,0.54
08:10,1.0,0.64,0.099,0.60,0.29,0.56,0.64
08:20,1.0,0.69,0.051,0.31,0.33,0.52,0.69
08:30,1.0,0.69,0.000,0.00,0.33,0.42,0.67
08:40,1.0,0.72,0.034,0.20,0.36,0.37,0.64
08:50,1.0,0.86,0.132,0.79,0.42,0.49,0.69
09:00,1.0,1.11,0.249,1.50,0.57,0.74,0.83
09:10,2.0,1.51,0.399,2.39,0.87,1.14,1.16
09:20,3.0,2.03,0.529,3.17,1.34,1.60,1.67
09:30,3.0,2.61,0.598,3.59,1.94,2.09,2.27
09:40,3.0,3.19,0.645,3.87,2.55,2.64,2.91
09:50,4.0,3.79,0.688,4.13,3.11,3.27,3.53
10:00,4.0,4.41,0.716,4.30,3.57,3.99,4.14
10:10,4.0,5.13,0.796,4.77,3.97,4.75,4.84
10:20,5.0,5.99,0.874,5.24,4.32,5.49,5.66
10:30,7.0,6.85,0.869,5.21,4.59,6.11,6.53
10:40,8.0,7.60,0.748,4.49,4.69,6.46,7.24
10:50,8.0,8.17,0.636,3.82,4.64,6.57,7.75
11:00,8.0,8.60,0.533,3.20,4.46,6.50,8.03
11:10,9.0,9.03,0.530,3.18,4.19,6.39,8.16
11:20,9.0,9.62,0.645,3.87,3.96,6.35,8.28
11:30,11.0,10.44,0.818,4.91,3.91,6.45,8.50
11:40,12.0,11.27,0.870,5.22,4.03,6.52,8.72
11:50,12.0,11.98,0.840,5.04,4.24,6.49,8.87
12:00,13.0,12.59,0.862,5.17,4.56,6.48,9.02
12:10,14.0,13.08,0.885,5.31,4.92,6.62,9.11
12:20,14.0,13.44,0.893,5.36,5.17,6.88,9.13
12:30,14.0,13.77,0.922,5.53,5.27,7.26,9.18
12:40,14.0,14.10,0.977,5.86,5.38,7.71,9.41
12:50,14.0,14.45,1.037,6.22,5.58,8.10,9.81
13:00,15.0,14.88,1.147,6.88,5.86,8.43,10.43
13:10,15.0,15.30,1.211,7.27,6.19,8.77,11.11
13:20,15.0,15.68,1.253,7.52,6.55,9.19,11.72
13:30,15.0,16.09,1.286,7.72,6.91,9.61,12.18
13:40,17.0,16.59,1.243,7.46,7.18,9.97,12.56
13:50,16.0,17.10,1.151,6.91,7.29,10.23,12.87
14:00,17.0,17.76,1.186,7.12,7.33,10.49,13.19
14:10,19.0,18.43,1.202,7.21,7.32,10.72,13.51
14:20,20.0,18.83,1.050,6.30,7.12,10.73,13.67
14:30,19.0,18.83,0.810,4.86,6.64,10.39,13.55
14:40,18.0,18.61,0.653,3.92,6.05,9.83,13.23
14:50,19.0,18.48,0.713,4.28,5.61,9.29,12.91
