start,end,occupancy_D90_mean,occupancy_D90_peak,occupancy_D60_mean,board_C_mean
08:00,11:00,2.65,6.57,2.12,3.2
08:10,11:10,2.98,6.57,2.35,3.6
08:20,11:20,3.31,6.57,2.57,4.1
08:30,11:30,3.63,6.57,2.77,4.5
08:40,11:40,3.97,6.57,2.97,5.1
08:50,11:50,4.31,6.57,3.17,5.7
09:00,12:00,4.64,6.57,3.39,6.3
09:10,12:10,4.96,6.57,3.61,6.9
09:20,12:20,5.27,6.62,3.83,7.6
09:30,12:30,5.56,6.88,4.05,8.2
09:40,12:40,5.85,7.26,4.23,8.8
09:50,12:50,6.13,7.71,4.39,9.4
10:00,13:00,6.40,8.10,4.52,10.0
10:10,13:10,6.64,8.43,4.65,10.6
10:20,13:20,6.87,8.77,4.77,11.2
10:30,13:30,7.07,9.19,4.90,11.8
10:40,13:40,7.27,9.61,5.03,12.2
10:50,13:50,7.46,9.97,5.17,12.7
11:00,14:00,7.66,10.23,5.31,13.2
11:10,14:10,7.89,10.49,5.47,13.7
11:20,14:20,8.13,10.72,5.65,14.2
11:30,14:30,8.37,10.73,5.82,14.8
11:40,14:40,8.59,10.73,5.97,15.3
11:50,14:50,8.77,10.73,6.09,15.6
12:00,15:00,8.93,10.73,6.16,16.0
12:10,15:10,9.06,10.73,6.20,16.3
12:20,15:20,9.16,10.73,6.20,16.6
12:30,15:30,9.24,10.73,6.18,16.9
12:40,15:40,9.28,10.73,6.17,17.2
12:50,15:50,9.29,10.73,6.16,17.4
13:00,16:00,9.27,10.73,6.16,17.7
13:10,16:10,9.23,10.73,6.15,17.8
13:20,16:20,9.17,10.73,6.09,17.9
13:30,16:30,9.06,10.73,5.98,18.0
13:40,16:40,8.89,10.73,5.80,18.0
13:50,16:50,8.66,10.73,5.57,17.8
14:00,17:00,8.39,10.73,5.30,17.6
14:10,17:10,8.10,10.73,5.03,17.5
14:20,17:20,7.80,10.73,4.80,17.1
14:30,17:30,7.53,10.39,4.63,16.8
14:40,17:40,7.31,9.83,4.57,16.4
14:50,17:50,7.16,9.29,4.59,16.3
15:00,18:00,7.08,8.82,4.67,16.1
15:10,18:10,7.06,8.50,4.77,16.0
15:20,18:20,7.08,8.85,4.85,15.8
15:30,18:30,7.12,8.89,4.89,15.5
15:40,18:40,7.15,8.89,4.88,15.2
15:50,18:50,7.18,8.89,4.82,15.1
16:00,19:00,7.19,8.89,4.75,14.8
16:10,19:10,7.19,8.89,4.69,14.5
16:20,19:20,7.18,8.89,4.69,14.3
16:30,19:30,7.20,8.89,4.75,14.2
16:40,19:40,7.27,8.89,4.89,14.2
16:50,19:50,7.43,8.89,5.10,14.4
17:00,20:00,7.65,9.30,5.34,14.8
17:10,20:10,7.89,9.60,5.58,15.1
17:20,20:20,8.11,9.60,5.75,15.4
17:30,20:30,8.28,9.60,5.83,15.6
17:40,20:40,8.38,9.60,5.80,15.7
17:50,20:50,8.41,9.60,5.67,15.6
18:00,21:00,8.37,9.60,5.47,15.6
18:10,21:10,8.25,9.60,5.25,15.4
18:20,21:20,8.06,9.60,5.05,15.4
18:30,21:30,7.82,9.60,4.89,15.4
18:40,21:40,7.56,9.60,4.75,15.5
18:50,21:50,7.27,9.60,4.61,15.4
19:00,22:00,6.99,9.60,4.45,15.3
19:10,22:10,6.69,9.60,4.24,15.1
19:20,22:20,6.38,9.60,3.99,14.8
19:30,22:30,6.05,9.60,3.70,14.4
19:40,22:40,5.69,9.60,3.38,14.0
19:50,22:50,5.28,9.60,3.06,13.4
20:00,23:00,4.83,9.60,2.73,12.7
20:10,23:10,4.36,9.35,2.43,11.8
20:20,23:20,3.92,8.83,2.15,11.1
20:30,23:30,3.52,8.28,1.91,10.5
