location,weekday,days,mean_peak,median_peak
T1,Mon,5,34.6,35.0
T1,Tue,4,45.2,44.0
T1,Wed,4,43.5,44.5
T1,Thu,4,40.8,40.5
T1,Fri,4,31.8,28.0
T1,Sat,5,24.0,25.0
T1,Sun,5,27.4,26.0
Mustika,Mon,5,31.2,34.0
Mustika,Tue,4,37.2,36.5
Mustika,Wed,4,39.5,40.5
Mustika,Thu,4,38.0,41.0
Mustika,Fri,4,27.2,27.0
Mustika,Sat,5,20.8,21.0
Mustika,Sun,5,26.6,24.0
Suur-Paala,Mon,5,25.0,28.0
Suur-Paala,Tue,4,22.2,21.0
Suur-Paala,Wed,4,20.5,20.0
Suur-Paala,Thu,4,16.2,16.5
Suur-Paala,Fri,4,14.0,15.5
Suur-Paala,Sat,5,10.0,11.0
Suur-Paala,Sun,5,15.4,15.0
Hipodroom,Mon,5,11.4,10.0
Hipodroom,Tue,4,14.8,15.0
Hipodroom,Wed,4,14.0,13.0
Hipodroom,Thu,4,9.5,9.5
Hipodroom,Fri,4,7.8,8.5
Hipodroom,Sat,5,8.4,7.0
Hipodroom,Sun,5,9.8,9.0
